year,track,driver,grid,position,points,driver_avg_position,driver_avg_points,driver_recent_form,track_avg_pos_change,driver_track_avg
2018,Abu Dhabi,Lewis Hamilton,1.0,1.0,25.0,4.0,14.70125786163522,4.0,0.6451612903225806,4.0
2018,Abu Dhabi,Sebastian Vettel,3.0,2.0,18.0,7.868131868131868,7.395604395604396,7.868131868131868,0.6451612903225806,7.868131868131868
2018,Abu Dhabi,Max Verstappen,6.0,3.0,15.0,2.8701298701298703,18.12012987012987,2.8701298701298703,0.6451612903225806,2.8701298701298703
2018,Abu Dhabi,Daniel Ricciardo,5.0,4.0,12.0,9.287037037037036,4.666666666666667,9.287037037037036,0.6451612903225806,9.287037037037036
2018,Abu Dhabi,Valtteri Bottas,2.0,5.0,10.0,8.17557251908397,8.183206106870228,8.17557251908397,0.6451612903225806,8.17557251908397
2018,Abu Dhabi,Carlos Sainz,11.0,6.0,8.0,7.068493150684931,7.633561643835616,7.068493150684931,0.6451612903225806,7.068493150684931
2018,Abu Dhabi,Charles Leclerc,8.0,7.0,6.0,5.510344827586207,10.758620689655173,5.510344827586207,0.6451612903225806,5.510344827586207
2018,Abu Dhabi,Sergio Perez,14.0,8.0,4.0,7.0,8.469696969696969,7.0,0.6451612903225806,7.0
2018,Abu Dhabi,Romain Grosjean,7.0,9.0,2.0,12.658536585365853,1.146341463414634,12.658536585365853,0.6451612903225806,12.658536585365853
2018,Abu Dhabi,Kevin Magnussen,13.0,10.0,1.0,13.141509433962264,1.0849056603773586,13.141509433962264,0.6451612903225806,13.141509433962264
2018,Abu Dhabi,Fernando Alonso,15.0,11.0,0.0,8.872727272727273,4.7,8.872727272727273,0.6451612903225806,8.872727272727273
2018,Abu Dhabi,Brendon Hartley,16.0,12.0,0.0,13.625,0.25,13.625,0.6451612903225806,13.625
2018,Abu Dhabi,Lance Stroll,20.0,13.0,0.0,11.575342465753424,1.8767123287671232,11.575342465753424,0.6451612903225806,11.575342465753424
2018,Abu Dhabi,Stoffel Vandoorne,18.0,14.0,0.0,12.526315789473685,0.631578947368421,12.526315789473685,0.6451612903225806,12.526315789473685
2018,Abu Dhabi,Sergey Sirotkin,19.0,15.0,0.0,14.833333333333334,0.05555555555555555,14.833333333333334,0.6451612903225806,14.833333333333334
2018,Australia,Sebastian Vettel,3.0,1.0,25.0,2.0,18.0,2.0,1.6804123711340206,2.0
2018,Australia,Lewis Hamilton,1.0,2.0,18.0,1.0,25.0,1.0,1.6804123711340206,1.0
2018,Australia,Kimi Raikkönen,2.0,3.0,15.0,9.928571428571429,4.4,9.928571428571429,1.6804123711340206,9.928571428571429
2018,Australia,Daniel Ricciardo,8.0,4.0,12.0,4.0,12.0,4.0,1.6804123711340206,4.0
2018,Australia,Fernando Alonso,10.0,5.0,10.0,11.0,0.0,11.0,1.6804123711340206,11.0
2018,Australia,Max Verstappen,4.0,6.0,8.0,3.0,15.0,3.0,1.6804123711340206,3.0
2018,Australia,Nico Hulkenberg,7.0,7.0,6.0,11.326315789473684,2.094736842105263,11.326315789473684,1.6804123711340206,11.326315789473684
2018,Australia,Valtteri Bottas,15.0,8.0,4.0,5.0,10.0,5.0,1.6804123711340206,5.0
2018,Australia,Stoffel Vandoorne,11.0,9.0,2.0,14.0,0.0,14.0,1.6804123711340206,14.0
2018,Australia,Carlos Sainz,9.0,10.0,1.0,6.0,8.0,6.0,1.6804123711340206,6.0
2018,Australia,Sergio Perez,12.0,11.0,0.0,8.0,4.0,8.0,1.6804123711340206,8.0
2018,Australia,Esteban Ocon,14.0,12.0,0.0,10.138211382113822,3.0813008130081303,10.138211382113822,1.6804123711340206,10.138211382113822
2018,Australia,Charles Leclerc,18.0,13.0,0.0,7.0,6.0,7.0,1.6804123711340206,7.0
2018,Australia,Lance Stroll,13.0,14.0,0.0,13.0,0.0,13.0,1.6804123711340206,13.0
2018,Australia,Brendon Hartley,16.0,15.0,0.0,12.0,0.0,12.0,1.6804123711340206,12.0
2018,Austria,Max Verstappen,4.0,1.0,25.0,4.5,11.5,5.0,1.1223021582733812,4.5
